,Bar Name,Url,Address,Number of Reviews,Rating,Average Price
0,RIINK,http://www.dianping.com/shop/k7WoGmuNzNnO1gmv,康定路358号18栋102室,905,4.84,152
1,WAKECLUB派对酒吧,http://www.dianping.com/shop/GaX3qtoOCO0ue9Il,同济路999号15号楼1-3楼,42,4.88,227
2,ARESSPACECLUB,http://www.dianping.com/shop/G9pceR9o4wlmMCUS,先锋街66号25幢108-1、108-2室,101,4.94,222
3,U.B.CBAR,http://www.dianping.com/shop/G6RjKKGuNqBLfUs5,海宁路397号2楼,5,4.28,NaN
4,TheZUKBar,http://www.dianping.com/shop/H4oyZuN2OGLtTpGM,威海路380号,227,4.84,155
5,SPACE派对酒吧,http://www.dianping.com/shop/k9GNJc5FFDRZggUA,蒙山北路399号,35,3.97,NaN
6,ピュア纯洁,http://www.dianping.com/shop/l6XaqNH1svHfL0AE,仙霞路698号,11,3.72,NaN
7,兰桂坊酒吧(杨浦店),http://www.dianping.com/shop/G996M7iphIYO6lkB,翔殷路999号15幢203室,5,4.24,NaN
8,MANDERLEYBAR曼德雷酒吧,http://www.dianping.com/shop/l7HbQno5ICkVnJAR,北京西路1013号尚演谷2楼（近江宁路）,77,4.86,154
9,TOPLIV酒吧·PARTYSPACE,http://www.dianping.com/shop/Fs2vZ1pvpL3oS1yY,年家浜路433号国美电器3楼,91,4.04,579
10,FUNCLUB派对酒吧,http://www.dianping.com/shop/l2q60RVNSZxZOjF1,安波路1006号,238,4.88,284
11,OWNERPLAY,http://www.dianping.com/shop/H7eYzuIgR3P7K0mm,石门一路211号旺旺大厦23楼,55,4.85,1152
12,苏荷酒吧,http://www.dianping.com/shop/G2gHW2VDROPHe7Tf,七莘路1839号108财富广场5F,17,4.79,NaN
13,THEBROKENDAGGER,http://www.dianping.com/shop/H9dhC3IHnD58mEND,襄阳北路93号-1,119,4.86,190
14,SPACEPLUS,http://www.dianping.com/shop/H4BmRvvcYBrjPazc,滨江大道1833号,553,4.83,1198
15,SOS酒吧(松江旗舰店),http://www.dianping.com/shop/k5mWb12LhkhkQ9VY,荣乐西路189号松江时代广场1楼,113,4.84,424
16,T66SKYBAR空中酒廊(人民广场店),http://www.dianping.com/shop/G8va602KkbqJpdnu,南京东路789号世茂皇家艾美酒店66楼,192,4.82,268
17,瓦伦丁女仆制服酒吧VALENTINEBAR,http://www.dianping.com/shop/G1DZoWs1Gldqd2ce,陕西北路1163号,361,4.88,312
18,TAXXSHANGHAI(延安中路店),http://www.dianping.com/shop/l1MG0tsASqGI4oan,延安中路1123号,98,4.86,2691
19,Hypnotic,http://www.dianping.com/shop/l94fjFPai9Wqx2Kc,南京西路580号L-132（左侧内街内）,166,4.89,206
20,MASTER,http://www.dianping.com/shop/k8cx4Jz2a9srOCkO,淮海中路523号TX淮海5、6楼,169,4.85,1930
21,ACESPACEPLUS,http://www.dianping.com/shop/jUSiupuZFXn3TJVL,川沙路4019号,83,4.91,NaN
22,REVEL,http://www.dianping.com/shop/G2Y0GRNxwsWPcAV7,襄阳南路222号,511,4.67,189
23,地理学家GeographerBar(浦东店),http://www.dianping.com/shop/l6HR36ZquiXkwYQA,世纪大道世纪汇广场A座LG1层（星空KTV对面）,314,4.84,77
24,M2酒吧MASSSOUTHKOREA(黄浦旗舰店),http://www.dianping.com/shop/G8vSgFasWgl4yP3s,淮海中路1号,1191,4.81,816
25,一家破酒馆民谣吧,http://www.dianping.com/shop/k2O88a1CbiMiqO0W,田林路118号第二排二楼（苏宁电器对面巷子内）,31,4.85,78
26,YES夜肆Club,http://www.dianping.com/shop/ka0FyZIs4rXTNwit,阿克苏路1358号,18,4.83,324
27,KOOKY网抑云音乐酒吧(爱琴海店),http://www.dianping.com/shop/G3U0HPiTHJwXFmwZ,虹井路120弄1号187、188室,35,4.88,NaN
28,Base酒肆Cocktail&Whisky,http://www.dianping.com/shop/k3hCHgn5PeYIy3vN,大沽路386号,512,4.86,180
29,Spaceless,http://www.dianping.com/shop/l6MGeDzKylP9WYeZ,申滨南路998号1层108室,29,4.82,NaN
30,HAZY酒吧,http://www.dianping.com/shop/G8hfQWOFpcetU52J,泰康路210号,152,4.88,245
31,KeyWest,http://www.dianping.com/shop/FgzNCsfNtKYkpK1z,永嘉路689弄1号,143,4.92,141
32,LIPOBAR李白,http://www.dianping.com/shop/l1MbQkenxpMbPbm6,徐家汇路550号宝鼎大厦201室（地铁9号线打浦桥站2号口左转50米）,251,4.83,95
33,TAG,http://www.dianping.com/shop/l7Yzjj3kmOD4M4aC,大学路261号201室（帕蓝·暹罗料理楼上）,108,4.94,173
34,PPM,http://www.dianping.com/shop/l7LS112lu0iF1djI,昭化路43弄4号-2室（沿街商铺）,76,4.94,130
35,ScorpionsBar蝎毒,http://www.dianping.com/shop/l9kBxh68lhV49fSA,国定路506号8幢103室,21,4.90,79
36,Nowhere,http://www.dianping.com/shop/G2auSQLHqfu98aEU,大学路103号801（人生一串楼上8楼）,188,4.93,122
37,Ringside音乐拳击主题酒吧(静安店),http://www.dianping.com/shop/G3T6MosxmyjQWZnp,恒丰路568号恒汇国际大厦3楼,29,4.68,158
38,MANGOMUSIC上海,http://www.dianping.com/shop/l8BRV0kAauXEGvai,北外滩白玉兰广场L3-03号,82,4.93,242
39,FIRSTX酒吧,http://www.dianping.com/shop/l2SDzPuu72fdMIP2,金沙江路1685号16幢BW2-8,494,4.81,1178
40,EShineBar&Cafe(甜爱店),http://www.dianping.com/shop/H2IIJ6D55Kd8sWq5,上海市虹口区甜爱支路33号1层,40,4.90,80
41,无乱酒馆(周浦店),http://www.dianping.com/shop/H66Eh1edxApaHChU,川周公路4471号,42,4.90,109
42,CURFEW門禁,http://www.dianping.com/shop/k7Oozj31JeBxbYLs,汾阳路1号豪生酒店侧门,385,4.85,154
43,Uncle’sbar,http://www.dianping.com/shop/k7Qqe3zRU9Zo5yw4,顺恒街顺恒国际广场H21,104,4.90,141
44,9ISLANDS(静安店),http://www.dianping.com/shop/G18jtnLdhzaKcveo,灵石路715号,91,4.95,175
